Count,pickup_location,Day,Hour
1,POINT (-87.5349029012 41.707311449),12,3
1,POINT (-87.5349029012 41.707311449),14,18
1,POINT (-87.5349029012 41.707311449),15,11
1,POINT (-87.5349029012 41.707311449),16,15
1,POINT (-87.5349029012 41.707311449),16,23
1,POINT (-87.5349029012 41.707311449),17,15
1,POINT (-87.5409355129 41.6636706517),13,6
1,POINT (-87.5409355129 41.6636706517),13,13
1,POINT (-87.5409355129 41.6636706517),13,15
1,POINT (-87.5409355129 41.6636706517),15,7
1,POINT (-87.5409355129 41.6636706517),16,16
1,POINT (-87.5409355129 41.6636706517),16,17
1,POINT (-87.551428197 41.7412427285),11,3
1,POINT (-87.551428197 41.7412427285),11,7
1,POINT (-87.551428197 41.7412427285),11,8
6,POINT (-87.551428197 41.7412427285),11,9
1,POINT (-87.551428197 41.7412427285),11,11
1,POINT (-87.551428197 41.7412427285),11,12
1,POINT (-87.551428197 41.7412427285),11,14
1,POINT (-87.551428197 41.7412427285),12,7
4,POINT (-87.551428197 41.7412427285),12,8
1,POINT (-87.551428197 41.7412427285),12,10
1,POINT (-87.551428197 41.7412427285),12,11
1,POINT (-87.551428197 41.7412427285),12,12
2,POINT (-87.551428197 41.7412427285),12,13
1,POINT (-87.551428197 41.7412427285),12,16
3,POINT (-87.551428197 41.7412427285),13,8
1,POINT (-87.551428197 41.7412427285),13,10
1,POINT (-87.551428197 41.7412427285),13,11
1,POINT (-87.551428197 41.7412427285),13,12
1,POINT (-87.551428197 41.7412427285),13,13
1,POINT (-87.551428197 41.7412427285),13,19
1,POINT (-87.551428197 41.7412427285),13,22
1,POINT (-87.551428197 41.7412427285),14,7
1,POINT (-87.551428197 41.7412427285),14,8
2,POINT (-87.551428197 41.7412427285),14,9
1,POINT (-87.551428197 41.7412427285),14,11
1,POINT (-87.551428197 41.7412427285),14,13
1,POINT (-87.551428197 41.7412427285),14,17
4,POINT (-87.551428197 41.7412427285),15,7
3,POINT (-87.551428197 41.7412427285),15,8
1,POINT (-87.551428197 41.7412427285),15,9
2,POINT (-87.551428197 41.7412427285),15,10
1,POINT (-87.551428197 41.7412427285),15,11
1,POINT (-87.551428197 41.7412427285),15,13
1,POINT (-87.551428197 41.7412427285),15,15
1,POINT (-87.551428197 41.7412427285),15,20
2,POINT (-87.551428197 41.7412427285),16,8
1,POINT (-87.551428197 41.7412427285),16,10
2,POINT (-87.551428197 41.7412427285),16,11
1,POINT (-87.551428197 41.7412427285),16,12
1,POINT (-87.551428197 41.7412427285),16,14
1,POINT (-87.551428197 41.7412427285),16,15
1,POINT (-87.551428197 41.7412427285),16,16
1,POINT (-87.551428197 41.7412427285),16,18
1,POINT (-87.551428197 41.7412427285),16,20
3,POINT (-87.551428197 41.7412427285),17,8
1,POINT (-87.5700582686 41.6906333472),11,0
1,POINT (-87.5700582686 41.6906333472),11,1
1,POINT (-87.5700582686 41.6906333472),11,8
2,POINT (-87.5700582686 41.6906333472),11,9
1,POINT (-87.5700582686 41.6906333472),11,10
3,POINT (-87.5700582686 41.6906333472),12,8
1,POINT (-87.5700582686 41.6906333472),12,11
2,POINT (-87.5700582686 41.6906333472),12,12
2,POINT (-87.5700582686 41.6906333472),12,13
1,POINT (-87.5700582686 41.6906333472),12,14
1,POINT (-87.5700582686 41.6906333472),12,15
